title,keywords,abstract,domain,reviewer,reviewer_profession,Impact_Factor
تأثير تقنيات البناء المستدام على المجتمع,تقنيات البناء المستدام، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع تقنيات البناء المستدام كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,احمد الخالد,الهندسة المعمارية,1.922
دراسة تطبيقية حول تصميم الأنفاق تحت,تصميم الأنفاق تحت الأرض، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح تصميم الأنفاق تحت الأرض من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,شريف كمال دسوقي,أستاذ العمارة ونظريات العمارة - كلية الهندسة-,1.922
دور استخدام المواد المركبة في التنمية المعاصرة,استخدام المواد المركبة في البناء الحديث، تصميم، بناء، هندسة، معماري,يعتبر استخدام المواد المركبة في البناء الحديث من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,إبراهيم عطية توفيق عطية,مدرب متخصص الهيئة العامة للتعليم التطبيقي والتدريب,1.922
البناء بالطباعة ثلاثية الأبعاد: رؤية مستقبلية,البناء بالطباعة ثلاثية الأبعاد، تصميم، بناء، هندسة، معماري,تشكل البناء بالطباعة ثلاثية الأبعاد من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,إبراهيم عطية توفيق عطية,مدرب متخصص الهيئة العامة للتعليم التطبيقي والتدريب,1.922
دراسة حول التصميم الزلزالي للمنشآت,التصميم الزلزالي للمنشآت، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى التصميم الزلزالي للمنشآت من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,احمد الخالد,الهندسة المعمارية,1.922
تحليل أبعاد تصميم المطارات الحديثة,تصميم المطارات الحديثة، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع تصميم المطارات الحديثة كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,ناجح محمد ناجح,مدرب الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تحليل البناء الأخضر والتقنيات من منظور حديث,البناء الأخضر والتقنيات الحديثة، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح البناء الأخضر والتقنيات الحديثة من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,ناجح محمد ناجح,مدرب الهيئة العامة للتعليم التطبيقي والتدريب,1.922
فاعلية إدارة النفايات في في تحسين الأداء,إدارة النفايات في المشاريع الإنشائية، تصميم، بناء، هندسة، معماري,يعتبر إدارة النفايات في المشاريع الإنشائية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,أنور عبدهللا الغانم,عضو هيئة تدريب - الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تصميم الأنفاق تحت كمدخل للتنمية,تصميم الأنفاق تحت الأرض، تصميم، بناء، هندسة، معماري,تشكل تصميم الأنفاق تحت الأرض من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,خالد صالح الدين الخياط,ستاذ الهندسة المعمارية وتكنولوجيا ومواد البناء الحديثة – قسم الهندسة المعمارية – كلية الهندسة,1.922
نظم الأمان في المباني: بين النظرية والتطبيق,نظم الأمان في المباني، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى نظم الأمان في المباني من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,محمد سعيد قاسم,االتصاالت و الشبكات,1.922
التصميم المعماري للمستشفيات: دراسة تحليلية,التصميم المعماري للمستشفيات، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع التصميم المعماري للمستشفيات كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,مروان خوري,الدكتور المهندس أستاذ مساعد في قسم هندسة المواصلات والنقل اختصاص خواص المواد,1.922
تقنيات العزل الحراري: رؤية مستقبلية,تقنيات العزل الحراري، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح تقنيات العزل الحراري من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,عبدالله سعود السميري,الهيئة العامة للتعليم التطبيقي والتدريب,1.922
التصميم المعماري للمدارس: دراسة ميدانية,التصميم المعماري للمدارس، تصميم، بناء، هندسة، معماري,يعتبر التصميم المعماري للمدارس من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,مروان خوري,الدكتور المهندس أستاذ مساعد في قسم هندسة المواصلات والنقل اختصاص خواص المواد,1.922
أنظمة الإضاءة الطبيعية: بين النظرية والتطبيق,أنظمة الإضاءة الطبيعية، تصميم، بناء، هندسة، معماري,تشكل أنظمة الإضاءة الطبيعية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,عبدالله سعود السميري,الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تقييم تصميم المطارات الحديثة في السياق المحلي,تصميم المطارات الحديثة، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى تصميم المطارات الحديثة من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,منى حمد عبدالله آل عشيوان,,1.922
استكشاف استخدام المواد المركبة في البيئة المحلية,استخدام المواد المركبة في البناء الحديث، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع استخدام المواد المركبة في البناء الحديث كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,ناجح محمد ناجح,مدرب الهيئة العامة للتعليم التطبيقي والتدريب,1.922
دراسة حول تصميم الجسور الحديثة,تصميم الجسور الحديثة، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح تصميم الجسور الحديثة من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,منى حمد عبدالله آل عشيوان,,1.922
التصميم المعماري للمستشفيات: دراسة تحليلية,التصميم المعماري للمستشفيات، تصميم، بناء، هندسة، معماري,يعتبر التصميم المعماري للمستشفيات من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,حاتم محمد سامي الشافعي,أستاذ قسم العمارة وعلوم البناء، كلية العمارة والتخطيط، جامعة الملك سعود،,1.922
التصميم المعماري للمدارس: بين النظرية والتطبيق,التصميم المعماري للمدارس، تصميم، بناء، هندسة، معماري,تشكل التصميم المعماري للمدارس من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,شريف كمال دسوقي,أستاذ العمارة ونظريات العمارة - كلية الهندسة-,1.922
دراسة حول البناء الأخضر والتقنيات,البناء الأخضر والتقنيات الحديثة، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى البناء الأخضر والتقنيات الحديثة من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,مروان خوري,الدكتور المهندس أستاذ مساعد في قسم هندسة المواصلات والنقل اختصاص خواص المواد,1.922
تصميم الأنفاق تحت الأرض: رؤية مستقبلية,تصميم الأنفاق تحت الأرض، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع تصميم الأنفاق تحت الأرض كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,منى حمد عبدالله آل عشيوان,,1.922
استكشاف البناء بالطباعة ثلاثية في البيئة المحلية,البناء بالطباعة ثلاثية الأبعاد، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح البناء بالطباعة ثلاثية الأبعاد من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,ناجح محمد ناجح,مدرب الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تطوير أنظمة الإضاءة الطبيعية في البيئة العربية,أنظمة الإضاءة الطبيعية، تصميم، بناء، هندسة، معماري,يعتبر أنظمة الإضاءة الطبيعية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,إبراهيم عطية توفيق عطية,مدرب متخصص الهيئة العامة للتعليم التطبيقي والتدريب,1.922
التصميم المعماري للمستشفيات وتحديات العصر الحديث,التصميم المعماري للمستشفيات، تصميم، بناء، هندسة، معماري,تشكل التصميم المعماري للمستشفيات من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,عبد الرحمن محمد البخيت,أستاذ كلية العمارة والتخطيط,1.922
نظم الطاقة الشمسية: مقاربة جديدة,نظم الطاقة الشمسية المتكاملة في المباني، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى نظم الطاقة الشمسية المتكاملة في المباني من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,احمد الخالد,الهندسة المعمارية,1.922
دراسة حول تقنيات العزل الحراري,تقنيات العزل الحراري، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع تقنيات العزل الحراري كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,حمد فؤاد المهنا,باحث أساسي  الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تطوير نظم الأمان في في البيئة العربية,نظم الأمان في المباني، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح نظم الأمان في المباني من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,عبدالله سعود السميري,الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تصميم المدن الذكية: دراسة تحليلية,تصميم المدن الذكية، تصميم، بناء، هندسة، معماري,يعتبر تصميم المدن الذكية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,أبرار ناصر علي حمدي,طالبة ماجستير، كلية العمارة والتخطيط،,1.922
تقييم تصميم الأنفاق تحت في السياق المحلي,تصميم الأنفاق تحت الأرض، تصميم، بناء، هندسة، معماري,تشكل تصميم الأنفاق تحت الأرض من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,شريف كمال دسوقي,أستاذ العمارة ونظريات العمارة - كلية الهندسة-,1.922
إدارة النفايات في المشاريع الإنشائية: دراسة تحليلية,إدارة النفايات في المشاريع الإنشائية، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى إدارة النفايات في المشاريع الإنشائية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,شريف كمال دسوقي,أستاذ العمارة ونظريات العمارة - كلية الهندسة-,1.922
استخدام المواد المركبة: مقاربة جديدة,استخدام المواد المركبة في البناء الحديث، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع استخدام المواد المركبة في البناء الحديث كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,محمد سعيد قاسم,االتصاالت و الشبكات,1.922
استكشاف البناء بالطباعة ثلاثية في البيئة المحلية,البناء بالطباعة ثلاثية الأبعاد، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح البناء بالطباعة ثلاثية الأبعاد من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,عبدالله سعود السميري,الهيئة العامة للتعليم التطبيقي والتدريب,1.922
دور تقنيات البناء المستدام في التنمية المعاصرة,تقنيات البناء المستدام، تصميم، بناء، هندسة، معماري,يعتبر تقنيات البناء المستدام من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,محمد سعيد قاسم,االتصاالت و الشبكات,1.922
أهمية أنظمة التكييف الذكية في العصر الرقمي,أنظمة التكييف الذكية، تصميم، بناء، هندسة، معماري,تشكل أنظمة التكييف الذكية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,حمد فؤاد المهنا,باحث أساسي  الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تحليل نظم الطاقة الشمسية من منظور حديث,نظم الطاقة الشمسية المتكاملة في المباني، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى نظم الطاقة الشمسية المتكاملة في المباني من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,أنور عبدهللا الغانم,عضو هيئة تدريب - الهيئة العامة للتعليم التطبيقي والتدريب,1.922
دراسة تطبيقية حول تقنيات العزل الحراري,تقنيات العزل الحراري، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع تقنيات العزل الحراري كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,إمام خلف الله علي حسين,مدرب متخصص المعهد الصناعي,1.922
